 Hughes, Joseph	40116	27200	10931	40118	33081
 Martin, Alice	27201	10931	49834	36373	11231
 Page, Oliver	11222	27201	33095	11234	40116
 Fox, Grace	33074	49838	49839	36380	49839
 Walker, Samuel	43031	33074	49836	45469	40115
 Clark, Martha	28460	36375	36374	36380	49839
 Barnes, William	43030	45468	33074	45468	49836
 Collins, Emily	33094	49833	49836	49838	49839
 Ward, Edward	11237	33074	21114	27200	27200
 Taylor, Lily	40116	27200	40115	33091	11217
 Mitchell, Sarah	40114	40118	11217	10916	45468
 Robinson, Henry	36373	33091	40113	49836	40117
 Ellis, Amelia	36376	11237	33095	36374	40115
 Morris, Emily	43030	11236	40118	11234	33074
 Fraser, Alexander	33092	33091	28460	36376	45469
 Watson, Charlotte	10931	45469	49839	43030	40115
 Brooks, Caroline	28460	36380	33094	11217	33074
 Ward, George	33095	33074	36374	36380	28460
 Holmes, Sophia	36375	11236	33081	40117	36373
 Barnes, John	40121	10916	27200	33094	33094
 Cook, Alice	33077	21114	33079	33079	27200
 Jenkins, Benjamin	40114	49834	28460	33095	21114
 Hunt, Margaret	33077	33074	33091	43031	11237
 White, Eleanor	33095	33091	11236	43030	33081
 Woods, William	40115	40115	49835	40113	33091
 Scott, Elizabeth	36374	36376	36373	40114	11234
 Ward, Sophia	11236	45467	33074	49833	11222
 Bennett, James	33081	28460	49835	11234	49837
 Collins, Amelia	10931	33095	49835	49839	43031
 Lewis, Charlotte	10931	33074	36376	11236	33095
 Foster, Henry	49837	49833	11217	33091	40116
 Wright, Catherine	45468	33074	33092	33077	40115
 Rogers, Samuel	45469	36375	49838	33074	40114
 Green, Emily	49838	33079	11236	33074	36380
 Reid, Oliver	45468	33077	11234	40116	36375
 Gray, Lily	49835	43031	40121	45469	40118
 Peters, George	11237	33092	49837	40116	40117
 King, Alice	40113	45469	33081	40117	33081
 Powell, William	33081	11222	40118	11236	40118
 Cook, Sarah	49837	40121	45468	43030	36375
 Ellis, Edward	33081	49837	49839	43031	49836
 Hayes, Isabella	40116	40113	11236	33094	40121
 Fraser, Amelia	10931	33094	36374	27200	43031
 Bell, Henry	33092	40116	49833	45469	21114
 Hughes, Alexander	11236	21114	33079	36376	33074
 Bui, Linh	33091	33095	11231	40117	36374
 Raza, Ahmed	45467	43031	27200	45467	33074
 Delgado, Martina	33077	43030	49836	10931	45469
 Ahmed, Iqra	21114	36375	49833	49839	33091
 Soto, Rodrigo	10931	49839	11222	28460	36375
 Zhang, Wei	33094	40113	33074	49838	33077
 Patel, Nisha	33091	40113	11236	40113	49835
 Kim, Ye-jin	33079	28460	10931	33094	49837
 Fuentes, Jorge	49835	11222	33095	36373	45468
 Wang, Chun	40114	33074	49836	49835	27201
 Nguyen, Quang	36373	40113	49837	11237	33094
 Li, Xiao	11231	40116	33091	49834	10931
 Reyes, Sofia	11217	45467	45468	40114	45467
 Gutierrez, Luis	49834	11217	36373	49835	49837
 Yilmaz, Aylin	49836	40115	33079	11231	40114
 Ali, Fatima	36380	36376	11237	40115	45469
 Das, Rohit	36374	40115	21114	11231	33091
 Santos, Ricardo	27200	33091	40116	10931	28460
 Wu, Jing	33092	49836	49839	21114	33074
 Park, Ji-hoon	40118	33074	36374	36380	36380
 Nava, Javier	45467	11237	40114	36376	49833
 Kaur, Harpreet	36373	27200	40121	10916	40121
 Chen, Wei	43030	49839	33094	11217	43030
 Miranda, Eduardo	33094	40121	11222	40114	27201
 Khan, Zainab	33091	40121	49839	43031	40115
 Pereira, Gustavo	43031	27200	33095	40121	21114
 Singh, Rohan	40115	49837	36380	33079	36376
 Kim, Min-ji	49836	40113	21114	33091	45469
 Rodriguez, Diego	40116	49839	27201	33094	10931
 Aziz, Aisha	40115	43031	33095	40121	36374
 Almeida, Pedro	49837	49835	27200	43030	36375
 Reyes, Andres	49838	11237	40114	49839	27200
 Xu, Ming	33081	33074	33095	49833	33091
 Pinto, Sofia	11237	40121	49837	33079	11217
 Chen, Han	45469	49838	40113	33077	11237
 Rios, Juan	36374	27200	43031	49839	49839
 Ahmad, Omar	11237	49836	40121	40115	33077
 Cho, Jae-hyun	40117	27200	45469	10931	40116
 Gao, Jian	49838	21114	36376	36373	33091
 Gupta, Rahul	10931	49833	43030	33074	10931
 Torres, Carlos	49835	11222	11231	43030	33079
 Wong, Hui	11236	36374	49833	49833	33079
 Huang, Xiaolin	49833	11217	33092	49833	45469
 Singh, Isha	36374	36375	11217	49836	45468
 Soares, Jo�o	33077	11237	43030	49838	33095
 Yamamoto, Saki	11236	10931	40121	49833	49837
 Shrestha, Priya	10931	33095	40121	33074	40118
 Reyes, Daniel	40116	33095	49836	21114	33092
 Li, Qiao	27200	43030	33077	10931	11237
 Jha, Sagar	33074	33092	36373	45469	11222
 Oliveira, Mariana	43030	33091	49833	11237	33095
 Ng, Wei	11237	49839	49839	49839	49835
 Jang, Hye-won	40116	36374	40117	36380	40118
 Das, Tanvi	21114	21114	11231	33092	27200
 Zhang, Cheng	11237	49838	45467	33081	40116
 Kim, Tae-yeon	36375	36376	49837	21114	36374
 Dos Santos, Ana	21114	36380	33091	21114	33092
 Ali, Ahmad	33094	49833	49837	27200	43031
 Chen, Mei	36375	49838	45468	40116	11217
 Singh, Kunal	49834	28460	11222	45469	43031
 Gonzalez, Maria	33094	33074	49833	11236	28460
 Sharma, Aditi	45468	33077	49837	27200	11222
 Ali, Amina	21114	33077	33091	33081	49837
 Gomes, Ana	33091	11236	11231	33081	10916
 Mendoza, Jose	11237	33077	33094	33092	11217
 Kim, Jae-hyuk	11237	33077	36373	40115	11234
 Chen, Yu	11217	33081	45469	28460	10916
 Ahmad, Ali	28460	21114	11234	10916	11222
 Rodriguez, Pablo	45468	28460	10931	36380	33091
 Barros, Beatriz	11217	40121	36373	11234	10931
 Khan, Farhan	40116	49834	33079	33074	40118
 Wu, Zhi	49835	45467	40113	36375	10916
 Rodriguez, Andres	49838	33081	49834	11222	33074
 Guzman, Ana	33079	40121	36373	40115	11231
 Kato, Yuka	40114	36374	49839	36380	49837
 Pham, Nhung	45467	27201	40114	21114	40121
 Yamada, Yui	40115	33074	49836	27200	36373
 Zhang, Lei	40121	40114	27200	10916	33077
 Kim, Min-seo	49838	10916	36373	33091	33077
 Silva, Rafael	45468	40116	36376	36380	33074
 Mishra, Anjali	49839	49838	21114	33094	45469
 Lee, Jae-hyun	33079	40113	36375	40117	40116
 Sato, Yuto	43030	40116	49839	40113	33095
 Patel, Anish	36380	49833	33077	28460	40115
 Das, Aarav	40114	40115	45469	43031	40114
 Yang, Jung-min	28460	49837	11237	11222	11231
 Tan, Wei	40117	28460	11237	33092	11237
 Chen, Jin	43031	40116	33074	49837	49839
 Khan, Arsalan	11237	36380	33077	11222	49834
 Martin, Luis	36375	33094	40115	11236	10916
 Oliveira, Tiago	11237	49836	10931	33092	36375
 Ahmad, Ayesha	49835	49839	36374	27200	40113
 Tavares, Miguel	21114	27200	40113	33074	43031
 Kim, Yeon-joo	36376	40116	33079	49835	28460
 Chu, Yan	36373	45467	40118	11231	33092
 Das, Rishi	21114	40114	33079	33094	27201
 Martinez, Ana	49836	11237	11234	49839	43030
